ID,Brand Name
1,212 VIP
2,3CE
3,88 Toys
4,A Bonne 
5,A+BC
6,AFE
7,AJ
8,AK
9,Amara Thwin
10,A'MAZE
11,Amazing Grace
12,Anerle
13,AOSENDAISHU
14,Armani
15,ARMY
16,Attipas
17,Auwe
18,AZZARO
19,B Mine
20,B&C
21,Babi Mild
22,Baby BoBo
23,Baby Bright
24,Baby James
25,Baby Star
26,Babygo
27,Baellerry
28,BAIBU 
29,BALANG
30,Baofeng
31,Beauty treats
32,Benira
33,BFashion
34,Bio Way
35,Biore
36,Block Shirt 
37,Blue Princess
38,BOBBI BROWN
39,Borges
40,Borges
41,Bossini
42,Bottlegger 
43,Bottlegger 
44,Boya
45,Bright Starts
46,Britney Spears
47,btqt
48,Burberry
49,Bvlgari
50,BYS
51,Cartier
52,Cathy Choo
53,Cathy doll
54,Catrice
55,Ccare
56,CHANEL
57,Chanleevi
58,Chicco
59,CK
60,CLARINE
61,CLINIQUE
62,Coach
63,Coscodi
64,Crayon
65,DABO
66,Daisy
67,DAVIDOFF
68,December 
69,DE'LANCI
70,Denim 
71,DENY
72,Deplieve
73,Dew
74,Dielac
75,DIOR
76,Dorall Collection
77,Dr. Face
78,Dr. Somchai
79,Dr.in
80,Dr.Kong
81,DRAKE NOIR
82,Dream
83,Dunhill
84,EA
85,Eagle
86,Eaint Tha Khin
87,Easy Shop
88,Eliza
89,Elizabeth
90,Encoded
91,Essence
92,ESTEE LAUDER
93,Esteem
94,Esxense
95,EUSHIDO
96,FAD ON
97,Fashion
98,Fasio
99,Garnier
100,Genki!
101,Ges Elephant
102,Gina Glan
103,Giorgio
104,Glamour Bright
105,Gold Power
106,Golden Cow
107,Golden Rose
108,Goon
109,Great Top
110,Gucci
111,Happy Mom & Genius
112,Heinz
113,Hello Kitty
114,Hie Hie
115,Huggies
116,Hugo
117,Humana
118,Ibobo
119,Ido
120,Imagic
121,Into Skin
122,INNI by La Source
123,Issey
124,J Site
125,Jasmine
126,Jeep
127,Jennifer
128,JIMMY Choo
129,Jordan
130,Joybaby
131,Junkisui
132,KA
133,Kalbe
134,Kenzo
135,Kingsons
136,KUQIDAISHU
137,LA Color
138,LA PRAIRIE
139,Lacoste
140,LAMER
141,LANCOME
142,LANEIGE
143,Lanvin
144,LANZHIXIN
145,LEE
146,Le'skin
147,Levi's
148,Lily
149,Lily Gerb
150,Little Bean
151,LOCK & LOCK
152,Loreal
153,Lovely Baby
154,Lux
155,LUXA 
156,LVB
157,MAC
158,Mack Andy
159,Mama's Baby
160,Mamypoko
161,Marc Jacobs 
162,MARVEL
163,Mediheal
164,Memo
165,Merries
166,METTA
167,MG
168,MH
169,Midnight
170,Mille
171,Miss rose
172,Mitu
173,MMK
174,Mommy's Note
175,Mont Blanc 
176,Morking Kiss
177,Morphe
178,Moschino
179,Mr Burberry
180,MUZI
181,My Burberry
182,My Favourite
183,My Rose
184,N.T.O
185,Nai-B
186,Nappy
187,NARS
188,Nature & Co
189,Nee Cara
190,Nee Cara
191,Nee Ni Coo
192,Nero
193,Newis
194,Nina
195,Ninna Ricci
196,Ninolac
197,No Logo
198,Novo
199,NYX 
200,O.TWO.O
201,OAAO
202,Obdo
203,Ocean One
204,Okiedog
205,O'Leno
206,One Direction
207,One One Book
208,Oppen
209,Oriental Princess
210,OZUKO 
211,Palmer's
212,Pantra
213,Para Kito
214,PAUL MITCHELL
215,Pediasure
216,Pigeon
217,Plume Small baby
218,Plus Fancy
219,POLA
220,Polo
221,Pond
222,Pony
223,PRINCESS
224,Ridielac
225,Rihanna
226,RL
227,Sai
228,Save Clinic
229,Sebamed
230,Shayi
231,Sheroca
232,ShineBright
233,SHISEIDO
234,Shoe Gallery
235,SHOW
236,SHUAIBO
237,Shwebo Minthamee
238,Similac
239,SISLEY
240,Sivanna Colors
241,SKII
242,SKMEI
243,Snail White
244,Snow
245,Star Guide
246,Sunplay
247,Susen
248,T Zar
249,Tanmesso
250,Thanthara 
251,Tinny Touch
252,Tom Ford
253,Tynor
254,Uchino
255,Unicorn
256,Urbini
257,V Tech
258,Valentina
259,Vaseline
260,Vero Amore
261,Versace
262,Very nior
263,Victoria Secret
264,Villa
265,VOI
266,W7
267,Wet N Wild
268,Wink White
269,Wint Htel War
270,Wuyoyo
271,Zeta Fashion
272,Nature Hugs
273,275
274,Kim Cuong
275,277
276,Sapindus
277,Jojoba
278,Dnae
279,EUAVDO
280,Tomahawk
281,EIZIN PHWE
282,Loocitane
283,Uncategorized
